review_title,Customer name,rating,date,Category,comments,usefulness,processed_comment
Another Midrange killer Smartphone by Xiaomi,Rishikumar Thakur,4.0 out of 5 stars,on 1 October 2018,Display,"Another Midrange killer Smartphone by Xiaomi

Major Highlights:
 The Redmi 6 Pro sports a 5.84-inch full-HD+ display with a notch
 Powered by the Qualcomm Snapdragon 625 SoC
 The phone is priced at Rs. 10,999 for the 3GB RAM variant (Start Point)
 Battery of 4000 mAh and its Durability
 The Tripple Slots
 Dual AI Camera

Well in Redmi 6 Series you will get 3 Different Smartphones with different specs, and from all of them, Redmi 6 pro is most powerful and advanced (as said by Redmi India in their launch event).

Xiaomi Redmi 6 Pro design:
Being the most premium phone of the new Redmi 6 family, the Redmi 6 Pro has been given somewhat better materials, in the form of a metal backplate. However, the overall design isnt too different from what weve already seen from Xiaomi at around this price point. This is a fairly thick phone, and it's a bit hefty too, but its manageable. The buttons have good feedback without being noisy, and on the left side, you get a single tray which can hold two SIM cards and a separate microSD card. Something worth noting is that the Redmi 6 Pro does not support dual 4G VoLTE, which means that only one SIM can connect to a 4G network at a time, The placement of ports is good. The mono speaker is on the bottom right, so chances of blocking it when using the phone in landscape mode are slim. The headphone socket is placed on the top, and you also get an infrared (IR) emitter which can be used to control IR appliances through the Mi Remote app.

Xiaomi Redmi 6 Pro specifications and software:
The phone uses Qualcomms Snapdragon 625 SoC, which is a couple of years old now but is still a capable chip for general tasks. Gaming performance isnt great, as some popular games like PUBG, and asphalt default to the lowest graphics settings, and even then, gameplay isnt smooth. Our unit was running on a pre-release version of its MIUI software, which prevented us from running most benchmarks.

Storage Options:
Well I am impressed with the Xiaomi as they provided triple Slot in sim tray (2 for nano sim & one for SD card)

Heating Issues:
Well, I do not find any heating issues in this phone while playing games like PubG and Asphalt.

Camera in Redmi 6 pro:
The rear 12-megapixel camera has a f/2.2 aperture with PDAF. Autofocus was decently quick in good light. Theres auto-HDR, which did a good job of balancing the exposure in our experience. We observed good detail in landscape shots in daylight, and colours were pleasing too. The main sensor stumbled a bit with macros, as it simply wasn't able to resolve finer detail. The white balance was a bit of a hit or a miss in close-ups, and we often found ourselves having to tap-to-focus to get the white balance back on track. Saving HDR images takes a good couple of seconds in daylight. I would be very happy if they have provided the Flash in Portrait Mode, still, you can Tap on Torch icon to switch, on the torch, you will get the flash in Portrait Mode.

Battery in Redmi 6 Pro:
Battery life is one of the strong suits of the Redmi 6 Pro. The 4000mAh battery easily lasted us a full day and a bit more on one charge. Playing heavy games didn't drain the battery too much either. In a single round of PUBG (around 30 minutes), in which we survived till the very end, we recorded a drop of around seven percent, which is not bad. In our internal video loop test, we got a runtime of 16 hours and 45 minutes, which is very good. The Redmi 6 Pro doesnt support fast charging, but the bundled 10W adapter gave us roughly a 55 percent charge in an hour, and it took us roughly 2 hours and 35 minutes to charge it completely from zero
Well before buying this phone I have heard many issues regarding inbuilt Advertisement in Xiaomi devices, and I checked that too in my previous Xiaomi phone which I am using since 2 Years. And actually, I found inbuilt ads in those phones. You will see ads in inbuilt developers apps like MI Apps, Mi Music, Mi Videos, Security, File Manager, Themes, sometimes you will see full-screen ads which are really irritating for Mi Fans, but there is a cooler way to stop those ads those who wanted to know contact me.

Final Verdict:
Well for the people who want a notch Display, Big Battery and Descent Camera you they can buy this phone blindly.
Suggestion for Xiaomi India: You should stop those inbuilt Ads present in your devices because we customers dont find those ads Valuable. Because we are not Surfing any website where many ads are present. So please stop it.

Note: Pics Included in this Review are captured by Redmi Note 3", ,another midrange killer smartphone xiaomi major highlights redmi 6 pro sports 5 84 inch full hd display notch powered qualcomm snapdragon 625 soc phone priced rs 10 999 3gb ram variant start point battery 4000 mah durability tripple slots dual ai camera well redmi 6 series get 3 different smartphones different specs redmi 6 pro powerful advanced said redmi india launch event xiaomi redmi 6 pro design premium phone new redmi 6 family redmi 6 pro given somewhat better materials form metal backplate however overall design different already seen xiaomi around price point fairly thick phone bit hefty manageable buttons good feedback without noisy left side get single tray hold two sim cards separate microsd card something worth noting redmi 6 pro support dual 4g volte means one sim connect 4g network time placement ports good mono speaker bottom right chances blocking using phone landscape mode slim headphone socket placed top also get infrared ir emitter used control ir appliances mi remote app xiaomi redmi 6 pro specifications software phone uses qualcomm snapdragon 625 soc couple years old still capable chip general tasks gaming performance great popular games like pubg asphalt default lowest graphics settings even gameplay smooth unit running pre release version miui software prevented us running benchmarks storage options well impressed xiaomi provided triple slot sim tray 2 nano sim one sd card heating issues well find heating issues phone playing games like pubg asphalt camera redmi 6 pro rear 12 megapixel camera f 2 2 aperture pdaf autofocus decently quick good light auto hdr good job balancing exposure experience observed good detail landscape shots daylight colours pleasing main sensor stumbled bit macros simply able resolve finer detail white balance bit hit miss close ups often found tap focus get white balance back track saving hdr images takes good couple seconds daylight would happy provided flash portrait mode still tap torch icon switch torch get flash portrait mode battery redmi 6 pro battery life one strong suits redmi 6 pro 4000mah battery easily lasted us full day bit one charge playing heavy games drain battery much either single round pubg around 30 minutes survived till end recorded drop around seven percent bad internal video loop test got runtime 16 hours 45 minutes good redmi 6 pro support fast charging bundled 10w adapter gave us roughly 55 percent charge hour took us roughly 2 hours 35 minutes charge completely zero well buying phone heard many issues regarding inbuilt advertisement xiaomi devices checked previous xiaomi phone using since 2 years actually found inbuilt ads phones see ads inbuilt developers apps like mi apps mi music mi videos security file manager themes sometimes see full screen ads really irritating mi fans cooler way stop ads wanted know contact final verdict well people want notch display big battery descent camera buy phone blindly suggestion xiaomi india stop inbuilt ads present devices customers find ads valuable surfing website many ads present please stop note pics included review captured redmi note 3
vry small size mobile,Raza ji,3.0 out of 5 stars,on 15 September 2018,Others,All ok but vry small size mobile,7 people found this helpful,ok vry small size mobile
Full display not working in all application.,Vaibhav Patel,3.0 out of 5 stars,on 18 September 2018,Others,Quite good,7 people found this helpful,quite good
Value for Money,Amazon Customer,5.0 out of 5 stars,on 28 September 2018,Display,"Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It's a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don't need third security apps.And the phone do charge little faster on it's stock adapter.Atleast 2hrs and 45mins.As it's a Qualcomm Chipset.

Verdict: The Base model is actually the Value for money deal. 3/32 GB.
I have been using the Redmi 6 pro for 3 weeks now. This is totally tested.",2 people found this helpful,redmi always king budget segment yet another gave us redmi 6 pro beautifully designed strong durable camera awesome like note 5 pro display crisp notch good shape means take whole screen sound quality clear loud headset experience awesome battery 4000mah crazily optimized heavy useage give 2 day half normal useage give 3 days best thing inbuild mi sercurity loaded features need third security apps phone charge little faster stock adapter atleast 2hrs 45mins qualcomm chipset verdict base model actually value money deal 3 32 gb using redmi 6 pro 3 weeks totally tested
Not worth for the money,Sudhakaran Wadakkancheri,2.0 out of 5 stars,on 18 September 2018,Others,worst product from MI. I am a hardcore fan of MI. But this one really disappointing.,6 people found this helpful,worst product mi hardcore fan mi one really disappointing
Redmi 6 pro (3/32 GB) review after using for one week.,Arun Yajurvedi,3.0 out of 5 stars,on 28 September 2018,Display,"Over prised by at least around Rs.1000/- Low light photos are bad. Only one SIM support VOLTE.
Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I don't play games. I like MIUI. I have already Redmi 4 A (Rs.6000/-only) using for more than 14 months working superbly. I have good opinion about Redmi mobiles.",2 people found this helpful,prised least around rs 1000 low light photos bad one sim support volte good things best sound good display smooth touch excellent battery life management compact nice photos videos good light never gets heated using charging play games like miui already redmi 4 rs 6000 using 14 months working superbly good opinion redmi mobiles
Fabulous!,Irukulla bharath,4.0 out of 5 stars,on 17 September 2018,Display,"Pros:
notch display
Dual camera
Face unlock
4000 mah battery
Cons:
Some of the apps donot work in full screen mode.
No Front flash

Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi.",3 people found this helpful,pros notch display dual camera face unlock 4000 mah battery cons apps donot work full screen mode front flash great product purchase finally value money got phone 10 500 thanks xiaomi
Fantastic,Amazon Customer,4.0 out of 5 stars,on 18 September 2018,Camera,Front camera is poor rest things are good,5 people found this helpful,front camera poor rest things good
Good,Amazon Customer,5.0 out of 5 stars,on 15 September 2018,Others,Wooo,5 people found this helpful,wooo
All youtubers are paid,Sharad,5.0 out of 5 stars,on 22 September 2018,Others,"Realme is sub brand of oppo
He give money to all techi youtubers including big ones and tell him to promote more realme
But MI 6 Pro is much better than real me
Don't worry mi have given value for money as always",2 people found this helpful,realme sub brand oppo give money techi youtubers including big ones tell promote realme mi 6 pro much better real worry mi given value money always
